x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0	0	-99999	0.299151	0.000707121	0.209571	0	0	1.40583e-009	0.000148632	0	0	0	0.0298104	0	0.999925	7.49765e-005	0	0.299151	0.299184	0.299226	0	0	1	0	0	0	0	0.25	0.25	0	0.999999	-0.116871	-0.207897	-0.598511	0.299154	0.299154	-2.37687e-005	
2.1	0	-99999	0.299113	5.36652e-005	0.0679084	2.90575e-016	0	1.8524e-008	3.65512e-006	5.39857e-012	2.00281e-032	0.0770551	6.42881e-015	0.120218	0.999627	1.06166e-008	0.000186747	0.299113	-0.65403	0.299077	0.317679	0	1	0	0	0	0	0.25	0.25	1	1.00882	0.20066	-0.207913	-0.598226	0.299113	0.299077	0.317482	
2.1	1	-99999	0.299113	0.000707238	0.209482	2.63446e-026	0	1.4056e-009	0.000148593	3.71398e-023	0	6.18579e-006	0.0298214	1.08606e-030	0.999925	7.49816e-005	7.40163e-018	0.299113	0.29932	0.299188	6.18579e-006	0	1	0	0	0	0	0.25	0.25	2	1.99274	-0.116708	-0.207913	-0.598226	0.299113	0.299113	6.18573e-006	
0	1	-99999	0.299113	7.73942e-005	0.0255465	1.49314e-015	0	1.28446e-008	1.98301e-006	1.92357e-011	2.36329e-031	0.0911867	1.33202e-014	0.169643	0.999362	1.19763e-008	0.000319757	0.299113	-0.993274	0.299109	0.430792	0	1	0	0	0	0	0.25	0.25	3	2	0.313459	-0.207913	-0.598225	0.299113	0.299109	0.430185	
1	0	1	0.299113	4.69016e-005	0.098375	1.42262e-016	0	2.11953e-008	4.62763e-006	3.02422e-012	5.83593e-033	0.0669107	5.08119e-015	0.0846584	9.97274	1.02425e-007	0.0136317	0.299113	-0.450467	0.299112	0.249859	0	10	0	0	0	0	3.75	0.375	4	1	0.1195	-0.207913	-0.598226	0.299113	0.299112	0.236217	
1.1	0	1	0.299113	0.0918334	1.52225e-010	0.00389273	0	1.0825e-011	1.40208e-011	0.0422637	1.25881e-014	0.0997041	1.55917e-008	0.293428	2.7024	3.22389e-007	3.6488	0.299113	-12.8454	0.299113	4.38152	0	10	0.189102	0	0	0	3.75	0.375	5	1	0.614616	-0.207912	-0.598225	0.299113	0.299112	0.731331	
1	0.9	1	0.299112	0.000707004	0.209196	1.37259e-024	0	1.40607e-009	0.000148341	1.93568e-021	0	0.000320548	0.0296015	2.95601e-027	9.99925	0.000748051	3.86019e-014	0.299112	0.300396	0.299859	0.000320548	0	10	0	0	0	0	3.21429	0.321429	6	0.994143	-0.116393	-0.207913	-0.598218	0.299112	0.299111	0.000320484	
1.1	0.9	1	0.299134	0.000706971	0.209291	1.15574e-024	0	1.40613e-009	0.000148401	1.62994e-021	0	0.00027022	0.0296277	2.09654e-027	9.99925	0.000748284	3.25078e-014	0.299134	0.300458	0.299881	0.00027022	0	10	0	0	0	0	2.91667	0.291667	7	1.02615	-0.116544	-0.207913	-0.598392	0.299137	0.299135	0.000268684	
0	0.298	-99999	2.65995e-005	0.231631	5.70101e-013	0.162901	0	4.29171e-012	1.32445e-013	0.701197	8.53584e-014	8.87091e-006	8.53607e-012	0.313666	0.456633	3.27381e-009	0.271684	2.65995e-005	-3.79391	2.6616e-005	1.76312	0	1	0.157155	0	0	0	0.25	0.25	8	1	2.57258	-0.207913	1.49538	2.55929e-005	2.56057e-005	1.49295	
0	0.402	-99999	2.44222e-005	0.23163	5.54095e-013	0.162911	0	4.29174e-012	1.28725e-013	0.701246	8.29802e-014	8.14484e-006	7.83658e-012	0.313723	0.456619	3.18174e-009	0.271691	2.44222e-005	-3.79444	2.44377e-005	1.7633	0	1	0.157285	0	0	0	0.25	0.25	9	1	2.57277	-0.207913	1.4954	2.34979e-005	2.35098e-005	1.49313	
