x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0	0	-99999	0.299113	0.000707243	0.209487	0	0	1.40559e-009	0.000148598	0	0	0	0.0298257	0	0.999925	7.49851e-005	0	0.299113	0.299338	0.299188	0	0	1	0	0	0	0	0.25	0.25	0	1	-0.116715	-0.207913	-0.598225	0.299113	0.299113	-6.76531e-016	
2.1	0	-99999	0.299067	0.0958774	1.34947e-010	0.00470196	0	1.03684e-011	1.29768e-011	0.0488964	1.6552e-014	0.0996875	1.67143e-008	0.303267	0.607969	7.3171e-008	0.196016	0.299067	-2.56845	0.299062	0.955836	0	1	5.55475	0	0	0	0.25	0.25	1	1.00866	0.643823	-0.207912	-0.598134	0.299067	0.299063	0.760596	
2.1	1	-99999	0.299113	0.000702947	0.204914	2.3692e-023	0	1.41418e-009	0.00014447	3.36042e-020	0	0.00508166	0.0262645	9.22192e-025	0.999928	7.20197e-005	6.77906e-015	0.299113	0.284035	0.299169	0.00508166	0	1	0	0	0	0	0.25	0.25	2	1.99274	-0.111746	-0.207913	-0.598225	0.299113	0.299097	0.00501705	
0	1	-99999	0.298935	0.111507	8.79963e-011	0.00926508	0	8.91509e-012	9.8413e-012	0.0828439	4.51353e-014	0.0996444	2.0982e-008	0.351786	0.569348	7.02899e-008	0.215326	0.298935	-3.03302	0.298933	1.11065	0	1	7.16704	0	0	0	0.25	0.25	3	1.99882	0.781761	-0.207919	-0.597871	0.298936	0.298934	0.89867	
1	0	1	0.299044	0.0825058	2.04869e-010	0.0024504	0	1.20488e-011	1.6953e-011	0.029612	6.48584e-015	0.09968	1.30229e-008	0.273904	2.86756	3.33877e-007	3.56622	0.299044	-12.4383	0.29904	4.24577	0	10	0	0	0	0	3.75	0.375	4	0.99977	0.552749	-0.207912	-0.598087	0.299044	0.29904	0.669542	
1.1	0	1	0.298967	0.0920575	1.51177e-010	0.00393368	0	1.07986e-011	1.39582e-011	0.0426043	1.27749e-014	0.0996538	1.56488e-008	0.293847	2.69881	3.22092e-007	3.6506	0.298967	-12.8545	0.298962	4.38448	0	10	4.035	0	0	0	3.75	0.375	5	0.999516	0.617026	-0.207912	-0.597935	0.298968	0.298962	0.733901	
1	0.9	1	0.299113	0.000654781	0.182952	2.56595e-022	0	1.51821e-009	0.000120149	3.9072e-019	0	0.0294881	0.00919194	1.90863e-022	9.99947	0.000519694	9.08471e-012	0.299113	0.212206	0.299632	0.0294881	0	9.99999	0	0	0	0	3.21429	0.321429	6	0.994143	-0.0871475	-0.207861	-0.598226	0.299113	0.299112	0.0294659	
1.1	0.9	1	0.299113	0.000656469	0.183338	2.48698e-022	0	1.51431e-009	0.000120712	3.77721e-019	0	0.0290594	0.00949143	1.75641e-022	9.99947	0.000524827	8.73738e-012	0.299113	0.213504	0.299636	0.0290594	0	10	0	0	0	0	2.91667	0.291667	7	1.02615	-0.087665	-0.207902	-0.598225	0.299113	0.29911	0.0290364	
0	0.298	-99999	0.299113	0.000707243	0.209487	0	0	1.40559e-009	0.000148598	0	0	0	0.0298257	0	0.999925	7.49851e-005	0	0.299113	0.299338	0.299188	0	0	1	0	0	0	0	0.25	0.25	8	1	-0.116716	-0.207913	-0.598226	0.299113	0.299113	-1.50211e-022	
0	0.402	-99999	0.299113	0.000707243	0.209487	3.17571e-031	0	1.40559e-009	0.000148598	4.47699e-028	0	7.45744e-011	0.0298257	1.57808e-040	0.999925	7.49851e-005	8.92211e-023	0.299113	0.299338	0.299188	7.45744e-011	0	1	0	0	0	0	0.25	0.25	9	1	-0.116716	-0.207913	-0.598226	0.299113	0.299113	7.46407e-011	
