Time	ObsPoint	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
2.46555e-007	0	-99999	0	0.147505	0	0.0255119	0	6.7394e-012	0	0.172445	0	0	0	0.284467	0.539694	0	0.230153	0	-2.99113	0	0.997043	0	1	5	0	0	0	0.25	0.25	1581	9.83681e-106	0.35106	-0.207912	-2.83984e-006	1.48464e-106	1.48464e-106	0.76689	
4.9311e-007	0	-99999	0	0.147505	0	0.0255119	0	6.7394e-012	0	0.172445	0	0	0	0.284467	0.539694	0	0.230153	0	-2.99113	0	0.997043	0	1	5	0	0	0	0.25	0.25	1581	5.9835e-093	0.35106	-0.207912	-2.83984e-006	9.11194e-094	9.11194e-094	0.76689	
5.5991e-006	0	-99999	0	0.147505	0	0.0255119	0	6.7394e-012	0	0.172445	0	0	0	0.284467	0.539694	0	0.230153	0	-2.99113	0	0.997043	0	1	5	0	0	0	0.25	0.25	1581	1.24998e-084	0.35106	-0.207912	-2.83984e-006	1.90679e-085	1.90679e-085	0.76689	
1.15741e-005	0	-99999	0	0.147505	0	0.0255119	0	6.7394e-012	0	0.172445	0	0	0	0.284467	0.539694	0	0.230153	0	-2.99113	0	0.997043	0	1	5	0	0	0	0.25	0.25	1581	-3.96671e-081	0.35106	-0.207912	-2.83984e-006	-6.08418e-082	-6.08418e-082	0.76689	
2.31481e-005	0	-99999	0	0.147505	0	0.0255119	0	6.7394e-012	0	0.172445	0	0	0	0.284467	0.539694	0	0.230153	0	-2.99113	0	0.997043	0	1	5	0	0	0	0.25	0.25	1581	5.39015e-079	0.35106	-0.207912	-2.83984e-006	8.0615e-080	8.0615e-080	0.76689	
5.78704e-005	0	-99999	0	0.147505	0	0.0255119	0	6.7394e-012	0	0.172445	0	0	0	0.284467	0.539694	0	0.230153	0	-2.99113	0	0.997043	0	1	5	0	0	0	0.25	0.25	1581	7.38563e-078	0.35106	-0.207912	-2.83984e-006	1.10598e-078	1.10598e-078	0.76689	
0.000115741	0	-99999	0	0.147505	0	0.0255119	0	6.7394e-012	0	0.172445	0	0	0	0.284467	0.539694	0	0.230153	0	-2.99113	0	0.997043	0	1	5	0	0	0	0.25	0.25	1581	3.94478e-077	0.35106	-0.207912	-2.83984e-006	5.91146e-078	5.91146e-078	0.76689	
0.000201792	0	-99999	0	0.147505	0	0.0255119	0	6.7394e-012	0	0.172445	0	0	0	0.284467	0.539694	0	0.230153	0	-2.99113	0	0.997043	0	1	5	0	0	0	0.25	0.25	1581	1.38123e-076	0.35106	-0.207912	-2.83984e-006	2.07119e-077	2.07119e-077	0.76689	
0.000231481	0	-99999	0	0.147505	0	0.0255119	0	6.7394e-012	0	0.172445	0	0	0	0.284467	0.539694	0	0.230153	0	-2.99113	0	0.997043	0	1	5	0	0	0	0.25	0.25	1581	2.97758e-076	0.35106	-0.207912	-2.83984e-006	4.46636e-077	4.46636e-077	0.76689	
0.000300595	0	-99999	0	0.147505	0	0.0255119	0	6.7394e-012	0	0.172445	0	0	0	0.284467	0.539694	0	0.230153	0	-2.99113	0	0.997043	0	1	5	0	0	0	0.25	0.25	1581	8.07593e-076	0.35106	-0.207912	-2.83984e-006	1.21204e-076	1.21204e-076	0.76689	
