x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	[X5]	
0	0	-99999	0	0.231193	3.14927e-016	0.503497	0	4.29986e-012	7.30247e-017	2.17138	1.40287e-015	4.58694e-015	1.41189e-021	3.04227	0.295012	1.16176e-012	0.352494	0	-27.3359	1.17731e-012	9.11192	0	1	5.72934	100	0	0	0.25	0.25	0	-0.000111469	8.34116	-0.207877	-9.88632e-005	-3.33475e-005	-9.38414e-006	8.75706	-2.39373e-005	
2.1	0	-99999	0	0.231189	0	0.503438	0	4.29993e-012	0	2.17117	0	0	0	3.04197	0.29502	0	0.35249	0	-27.3332	0	9.11103	0	1	5.72933	100	0	0	0.25	0.25	1	-2.06351e-033	8.34022	-0.207906	-9.88183e-005	-1.11636e-034	-3.77611e-035	8.75613	-6.77685e-035	
2.1	1	-99999	0	0.231189	0	0.503439	0	4.29993e-012	0	2.17117	0	0	0	3.04197	0.29502	0	0.35249	0	-27.3332	0	9.11104	0	1	5.72933	100	0	0	0.25	0.25	2	-7.02295e-019	8.34023	-0.207906	-9.88184e-005	-9.86804e-020	-5.47731e-020	8.75615	-5.86383e-020	
0	1	-99999	3.38046e-008	0.231189	3.36525e-014	0.503438	1.8144e-008	4.29993e-012	7.80316e-015	2.17117	1.49865e-013	5.59588e-009	1.72248e-015	3.04197	0.29502	1.24141e-010	0.35249	3.38046e-008	-27.3332	1.6912e-008	9.11102	1.8144e-008	1	5.72933	100	0	0	0.25	0.25	3	2.17623e-007	8.34022	-0.207906	-9.886e-005	3.29887e-008	1.68128e-008	8.75613	1.73297e-008	
1	0	1	0	0.262716	0	1.25112	0	3.78392e-012	0	4.74816	0	0	0	6.75621	0.818148	0	4.59093	0	-72.3079	0	24.1026	0	10	6.34478	100	0	0	3.75	0.375	4	-1.03139e-022	19.0784	-0.207896	-3.16551e-005	-5.14329e-023	-2.12394e-023	19.4942	-2.94122e-023	
1.1	0	1	0	0.268481	0	1.46228	0	3.70267e-012	0	5.43039	0	0	0	7.75805	0.783301	0	4.60835	0	-81.0513	0	27.0171	0	10	6.42921	100	0	0	3.75	0.375	5	-5.53574e-028	21.9898	-0.207894	-1.34027e-005	-1.32089e-028	-5.74131e-029	22.4056	-8.28726e-029	
1	0.9	1	8.02241e-007	0.235976	8.01887e-014	0.581912	5.16935e-007	4.21269e-012	1.89787e-014	2.45869	5.08073e-013	9.49886e-008	2.86057e-014	3.44959	1.01048	1.07743e-009	4.49476	8.02241e-007	-43.3037	2.86044e-007	14.4345	5.16935e-007	10	5.84615	100	0	0	3.21429	0.321429	6	5.766e-006	9.5156	-0.207905	-9.14833e-005	8.62356e-007	3.05178e-007	9.9315	5.56833e-007	
1.1	0.9	1	0	0.236633	7.23234e-016	0.593473	0	4.201e-012	1.71648e-016	2.50058	4.80725e-015	7.18685e-014	2.15783e-020	3.50915	1.00507	9.74639e-012	4.49746	0	-43.8295	9.9677e-012	14.6098	0	10	5.90499	100	0	0	2.91667	0.291667	7	-0.000107556	9.68488	-0.207892	-9.04579e-005	-1.60857e-005	-6.54393e-006	10.1008	-9.54024e-006	
0	0.298	-99999	0.299082	0.244079	4.65148e-010	6.61836e-007	0.203642	4.07284e-012	1.1387e-010	2.70354e-006	3.7882e-027	0.0241351	0.00782551	3.40606e-012	0.999984	6.84416e-006	4.5242e-006	0.299082	0.55562	0.0958886	0.024143	0.203642	1	0	94.8077	0	0.137147	0.25	0.25	8	0.999902	-0.0745005	-0.207895	-8.69574e-009	0.299084	0.00911439	0.0241822	0.289767	
0	0.402	-99999	0.299085	0.242481	4.95942e-010	5.38686e-007	0.204984	4.09969e-012	1.20613e-010	2.21499e-006	2.23585e-027	0.0231921	0.00888176	2.37821e-012	0.999985	7.15485e-006	3.75568e-006	0.299085	0.56111	0.0962289	0.0231986	0.204984	1	0	94.6177	0	0.137442	0.25	0.25	9	0.999909	-0.0774055	-0.207895	-7.94532e-009	0.299086	0.00853486	0.0222941	0.290488	
0.298	1	-99999	0.299005	0.253367	3.3234e-010	1.98654e-006	0.196177	3.92353e-012	8.44538e-011	7.81735e-006	6.30351e-026	0.0306795	0.00414655	2.27606e-011	0.99997	5.46973e-006	1.21399e-005	0.299005	0.575993	0.104484	0.0307015	0.196177	1	0	95.3709	0	0.15894	0.25	0.25	10	1.9993	-0.0708093	-0.207895	-3.38644e-008	0.299008	0.00780134	0.0304586	0.291121	
0.402	1	-99999	0.299112	0.231646	6.59901e-010	1.79474e-007	0.214572	4.29144e-012	1.53317e-010	7.72488e-007	1.321e-028	0.0151614	0.013247	3.80544e-013	0.999989	8.30027e-006	1.43521e-006	0.299112	0.536056	0.0852335	0.0151638	0.214572	1	0	94.4906	0	0.111605	0.25	0.25	11	1.99999	-0.0806865	-0.207895	8.4923e-010	0.299112	0.0105779	0.0150815	0.28829	
2.1	0.402	-99999	0	0.231189	0	0.503434	0	4.29993e-012	0	2.17115	0	0	0	3.04194	0.295021	0	0.35249	0	-27.333	0	9.11096	0	1	5.72933	100	0	0	0.25	0.25	12	4.63433e-025	8.34017	-0.207906	-9.88183e-005	4.76207e-029	1.40007e-028	8.75608	-4.41693e-028	
2.1	0.198	-99999	0	0.231189	0	0.503441	0	4.29992e-012	0	2.17118	0	0	0	3.04198	0.29502	0	0.35249	0	-27.3333	0	9.11107	0	1	5.72933	100	0	0	0.25	0.25	13	1.13245e-030	8.34021	-0.207905	-9.88182e-005	7.61462e-032	3.33257e-032	8.75612	4.58986e-032	
1.25	1	-99999	0.00641368	0.230473	1.85162e-012	0.492113	0.00371303	4.31327e-012	4.28014e-013	2.12891	7.79784e-012	0.000899918	2.7816e-010	2.97961	0.296665	6.80494e-009	0.351668	0.00641368	-26.7867	0.00269976	8.93281	0.00371303	1	5.72852	99.9998	0	0	0.25	0.25	14	0.0476956	8.15591	-0.207906	-9.65019e-005	0.00713319	0.00300536	8.55868	0.00412673	
0.825	1	-99999	0.146846	0.210163	7.25643e-012	0.249066	0.0897121	4.7301e-012	1.52956e-012	1.1816	5.72994e-012	0.0189546	6.65541e-009	1.59649	0.349273	2.38069e-008	0.325364	0.146846	-14.6437	0.0568639	4.96797	0.0897121	1	5.67494	99.9902	0	0	0.25	0.25	15	1.00837	4.38256	-0.207909	-4.90245e-005	0.150808	0.0583921	4.53112	0.0921284	
